tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-22,20.00 WIB,Sikka,"350,715",6,23,32,"12,888",9
2026-08-22,20.00 WIB,Manggarai Timur,"313,876",28,239,404,"25,580",246
2026-08-22,20.00 WIB,Manggarai,"340,153",29,32,104,"38,250",14
2026-08-22,20.00 WIB,Ngada,"176,462",3,17,19,"2,551",27
2026-08-22,20.00 WIB,Nagekeo,"170,669",13,13,9,"31,180",70
2026-08-22,20.00 WIB,Ende,"284,165",2,5,67,"3,536",25
2026-08-22,20.00 WIB,Manggarai Barat,"281,692",2,2,4,"14,879",9
