tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-19,20.00 WIB,Sikka,"350,715",4,18,26,"1,600",9
2026-08-19,20.00 WIB,Manggarai Timur,"313,876",20,185,320,"15,200",246
2026-08-19,20.00 WIB,Manggarai,"340,153",22,26,82,"8,400",14
2026-08-19,20.00 WIB,Ngada,"176,462",2,14,16,"1,050",27
2026-08-19,20.00 WIB,Nagekeo,"170,669",10,10,7,"5,100",70
2026-08-19,20.00 WIB,Ende,"284,165",2,4,48,"2,400",25
2026-08-19,20.00 WIB,Manggarai Barat,"281,692",1,2,3,"1,250",9
