tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-18,20.00 WIB,Sikka,"350,715",2,10,15,"1,200",9
2026-08-18,20.00 WIB,Manggarai Timur,"313,876",12,120,210,"9,500",246
2026-08-18,20.00 WIB,Manggarai,"340,153",14,18,50,"5,200",14
2026-08-18,20.00 WIB,Ngada,"176,462",1,8,10,650,27
2026-08-18,20.00 WIB,Nagekeo,"170,669",5,6,4,"2,800",70
2026-08-18,20.00 WIB,Ende,"284,165",1,2,25,"1,500",25
2026-08-18,20.00 WIB,Manggarai Barat,"281,692",0,1,2,800,9
